"","filename_median","cluster_median","date_median","tubename_median","X_median","FSC.A_median","SSC.A_median","FITC.A_median","PerCP.A_median","PE.A_median","PE.Texas.Red.A_median","PE.Cy5.A_median","PE.Cy7.A_median","APC.A_median","Alexa700.A_median","APC.Cy7.A_median","BV421.A_median","BV510.A_median","BV605.A_median","BV650.A_median","BV711.A_median","BV786.A_median","BUV396.A_median","BUV496.A_median","BUV737.A_median","pred.flexclust_median","event_median","filename_rCV","cluster_rCV","date_rCV","tubename_rCV","X_rCV","FSC.A_rCV","SSC.A_rCV","FITC.A_rCV","PerCP.A_rCV","PE.A_rCV","PE.Texas.Red.A_rCV","PE.Cy5.A_rCV","PE.Cy7.A_rCV","APC.A_rCV","Alexa700.A_rCV","APC.Cy7.A_rCV","BV421.A_rCV","BV510.A_rCV","BV605.A_rCV","BV650.A_rCV","BV711.A_rCV","BV786.A_rCV","BUV396.A_rCV","BUV496.A_rCV","BUV737.A_rCV","pred.flexclust_rCV","event_rCV"
"1","Specimen_001_20191212_002.csv","1","12-DEC-2019","20191212",2554.5,24001.7392578125,33572.521484375,304.559997558594,299.160018920898,311.760009765625,354.600021362305,338.760025024414,301.320022583007,456.000030517578,328.800018310547,291,769.950012207031,361.920013427734,453.269989013672,672.075012207031,312.329986572266,320.160003662109,897,723.580017089844,276,1,"","Specimen_001_20191212_002.csv","1","12-DEC-2019","20191212",68.0043550596986,11.899919337714,5.97854671507245,32.5140073665642,43.4498817234799,36.2586596659746,42.5380696221582,65.8946301732578,30.5936070605874,18.8248023618863,19.4405536939958,23.5051551635323,47.469239641245,45.3124969697021,85.9188100780959,47.3360834045403,38.9972146956121,37.6544841815888,16.618898556304,73.207121390857,65.5228356098784,0,""
"2","Specimen_001_20191212_002.csv","2","12-DEC-2019","20191212",2471,117997.109375,75150,2027.52001953125,1664.64001464844,1524.24011230469,1753.20007324219,1640.88000488281,1247.76000976562,2073.60009765625,1388.40002441406,1179,4505.72998046875,2857.94995117188,2450.7900390625,4437.8701171875,2904.92993164062,1684.32006835938,8647.080078125,3744.40014648438,1960.52001953125,2,"","Specimen_001_20191212_002.csv","2","12-DEC-2019","20191212",68.9170093079725,3.40839372786542,12.4131601546907,11.5012556061478,15.1330186604106,14.5931815137458,15.5210533653756,18.4648162885993,13.8993323895849,10.5993349723187,11.0091094634999,12.1119582521603,14.681896412825,12.035783421092,22.9078135348972,14.6221380737611,11.1073804095997,16.4966641841723,14.5318665531289,23.6931975580983,23.6743349243926,0,""
"3","Specimen_001_20191212_002.csv","3","12-DEC-2019","20191212",2473,117702.8984375,74741.765625,78638.40625,58146.48046875,63561.6015625,75372.484375,51656.40234375,42336,54716.40234375,42037.80078125,38304,67821.71875,87135.71875,86451.03125,90840.1796875,76367.7265625,72339.6328125,77830.1640625,61599.51953125,60563.6015625,3,"","Specimen_001_20191212_002.csv","3","12-DEC-2019","20191212",67.7993166194905,3.35805634631846,12.8346712838141,14.4503510053334,12.4017832986318,14.359013480402,14.3757173228626,11.1054592655088,9.33259219953174,9.53896890850331,9.22519709799876,8.79820202055432,14.3293691376057,12.1382601172094,12.6177224073383,7.74286765398332,6.78147097682891,10.0831358836513,20.2375551794919,16.2917681017576,14.3661320646774,0,""
"4","Specimen_001_20191213_003.csv","1","13-DEC-2019","20191213",2513,24428.25,32877.359375,307.440002441406,304.559997558594,308.880004882812,349.920013427734,326.160003662109,291.600006103516,451.200012207031,332.400024414062,289.800018310547,775.169982910156,366.269989013672,455.010009765625,660.330017089844,311.459991455078,323.640014648438,892.400024414062,748.880004882812,265.880004882812,1,"","Specimen_001_20191213_003.csv","1","13-DEC-2019","20191213",67.1071826502189,14.683588291572,9.91839311377843,34.4126707833897,46.7993899109624,44.2890421069064,46.6049413671285,66.9935325593344,53.6798781516907,24.9129781016092,53.2421266227612,52.1739139591794,47.7466673770125,43.6962963988723,85.0786575711641,50.1976250334255,45.6649997153613,44.8820949928882,22.4167113897591,73.459631429788,67.9863982549613,0,""
"5","Specimen_001_20191213_003.csv","2","13-DEC-2019","20191213",2502,121272.48046875,74223.72265625,2064.23999023438,1707.84008789062,1537.92004394531,1762.20007324218,1637.28002929688,1221.4800415039,2083.50012207031,1415.70001220703,1193.10003662109,4557.4951171875,2889.27001953125,2480.3701171875,4491.81005859375,2932.77001953125,1710.42004394531,8620.400390625,3856.18005371093,1972.02001953125,2,"","Specimen_001_20191213_003.csv","2","13-DEC-2019","20191213",69.1792525979217,3.48964537084055,11.8648623384338,11.8402395712094,15.3476938969708,13.7343096183946,14.9002049266888,18.0920104587493,13.9109963463752,11.9354807838724,10.8363009854481,11.1964853721537,15.3680303500737,12.5263489220032,22.1423054893127,14.5308874446733,10.6119788025532,15.0397963621417,16.2157259906495,22.7105393166604,24.1364565502191,0,""
"6","Specimen_001_20191213_003.csv","3","13-DEC-2019","20191213",2489,121135.765625,73727.28125,80100,59587.203125,63922.32421875,75798,51241.68359375,41160.9609375,55140.6015625,42702.6015625,38518.203125,68615.1640625,88094.4609375,87524.609375,92192.1640625,77493.5078125,72511.890625,77895.484375,62479.9609375,61061.3203125,3,"","Specimen_001_20191213_003.csv","3","13-DEC-2019","20191213",68.4662314182403,3.5142141513738,12.9264108170186,15.6181255686252,13.6620410422645,16.2293692436163,16.3256413087664,12.262799692877,9.99276539910106,10.4792336536839,9.57297618631624,9.68115838696399,16.2722778868237,14.9111214870473,14.9629981772983,9.94668461434622,7.46389165765802,9.29211312648938,21.0075068797112,17.8973898387421,15.3388021992237,0,""
"7","Specimen_001_20191223_002.csv","1","23-DEC-2019","20191223",2575,25029.08984375,32166.419921875,315.674987792969,289.799987792969,301,337.399993896484,300.299987792969,281.75,423.360015869141,309.119995117188,279.440002441406,804.525024414062,376.550018310547,484.5,664.700012207031,296.649993896484,304.300018310547,853.980041503906,738.309997558594,248.970008850097,1,"","Specimen_001_20191223_002.csv","1","23-DEC-2019","20191223",66.3700601941748,26.128668529174,30.3566099310367,40.4780563859588,51.9493125541404,56.8604643558742,56.0554152865618,74.6574978358611,61.8633520740689,47.8298333859667,57.535064080501,57.9345774283612,60.2579963177865,58.6201119143277,88.0701795328015,50.2755573805751,50.1700764751337,56.4245803682829,38.6580240453403,94.9657139309474,70.6390329395735,0,""
"8","Specimen_001_20191223_002.csv","2","23-DEC-2019","20191223",2449.5,124412.61328125,72444.13671875,2069.65502929688,1660.82995605469,1561.69995117188,1787.09997558594,1610.34997558594,1206.79992675781,1975.68005371094,1301.44006347656,1120,4429.35009765625,2825.82507324219,2463.72509765625,4359.64990234375,2805.85009765625,1598.85009765625,8340.2802734375,3590.07006835938,1842.97998046875,2,"","Specimen_001_20191223_002.csv","2","23-DEC-2019","20191223",70.841992243315,3.38168090560804,11.9263104696135,10.406309792131,13.6476932633,13.9909131245797,13.7512212854534,18.3370240798448,13.5770674001542,9.92258029199177,10.8678390477345,11.0818630082264,13.6265378976728,12.0189121280821,20.4071073064262,13.8065386890925,10.4837546505357,15.1093011934082,7.84971837715287,20.2959664485244,23.594831023179,0,""
"9","Specimen_001_20191223_002.csv","3","23-DEC-2019","20191223",2507.5,124408.578125,72317.5234375,80539.21484375,56613.80859375,65817.1484375,78007.6484375,49066.84765625,34811.69921875,51933.841796875,35118.71875,31091.48046875,68485.3515625,88511.3515625,88325.62890625,86939.703125,68289,57480.826171875,75402.21875,60684.1796875,51821.451171875,3,"","Specimen_001_20191223_002.csv","3","23-DEC-2019","20191223",67.0041575274177,3.74121434960587,15.0822209946954,16.5990518225327,14.734463082349,16.4663437275026,16.5082127689002,13.0432407705432,11.2593398804618,11.6406987492012,11.5143276622421,11.3774364413408,14.9429569159691,13.7505396041627,14.4260546886143,9.73557458734423,8.26773648088226,10.7404994036225,21.501872985543,17.7534407640094,15.1391667170136,0,""
"10","Specimen_001_20191224_003.csv","1","24-DEC-2019","20191224",2505.5,24080.80078125,35222.083984375,331.889984130859,377.429992675781,365.049987792969,403.199981689453,409.5,338.799987792969,551.039978027344,400.399993896484,342.160003662109,565.675018310547,303.450012207031,355.300018310547,844.050048828125,416.5,396.100006103516,828.179992675781,453.220001220703,333.25,1,"","Specimen_001_20191224_003.csv","1","24-DEC-2019","20191224",67.5999301536619,9.25687568788998,1.71860691204532,17.56756620073,20.9585484109885,22.9696069573225,25.0248721187019,43.2723502097403,19.9380181480512,11.6869912283004,12.0279693150473,13.0932859812598,42.470810972614,21.8487421367834,49.4019096117998,24.0829038425715,20.1020386181816,22.5321884940026,8.68569895601711,50.650807630546,40.4610312116298,0,""
